transaction_id,customer_id,account_type,country,amount,currency,category,channel,timestamp,status,merchant_id,card_last4
2689,202,Premium,ES,150.53,EUR,Farmacia,Online,2025-10-01 00:24:33,APPROVED,M27405,5770
2330,683,Empresarial,FR,1962.76,EUR,Transferencia,Presencial,2025-10-01 00:31:29,DECLINED,M53003,1131
2833,486,Ahorro,ES,50.12,EUR,E-commerce,Presencial,2025-10-01 01:45:23,APPROVED,M98403,7223
2929,436,Corriente,FR,94.47,EUR,Entretenimiento,Movil,2025-10-01 04:37:51,APPROVED,M37822,5501
2519,575,Ahorro,ES,70.28,EUR,E-commerce,Online,2025-10-01 05:08:35,DECLINED,M33039,4285
2433,527,Empresarial,DE,178.16,EUR,Transporte,Presencial,2025-10-01 05:25:34,APPROVED,M41990,4721
2970,664,Ahorro,ES,219.67,EUR,Hotel,Online,2025-10-01 05:41:42,APPROVED,M26884,5162
2785,530,Ahorro,ES,115.49,EUR,E-commerce,Online,2025-10-01 06:20:09,APPROVED,M19058,5896
1399,554,Corriente,ES,108.65,EUR,Supermercado,Online,2025-10-01 06:25:11,APPROVED,M68436,6826
2857,118,Corriente,UK,88.49,GBP,Gasolinera,Online,2025-10-01 06:32:25,APPROVED,M13009,7578
2533,557,Ahorro,DE,6.46,EUR,Transporte,Presencial,2025-10-01 06:51:17,APPROVED,M25306,4943
2248,696,Ahorro,ES,24.07,EUR,Transporte,Online,2025-10-01 06:52:58,APPROVED,M28293,1431
1027,621,Corriente,MX,93.38,MXN,Entretenimiento,Online,2025-10-01 07:16:11,APPROVED,M55309,6139
2566,456,Ahorro,ES,35.9,EUR,Transporte,Presencial,2025-10-01 07:27:45,APPROVED,M31784,5976
1305,590,Corriente,ES,84.67,EUR,Cajero,Online,2025-10-01 07:37:10,APPROVED,M31802,5231
1526,306,Corriente,US,227.26,USD,Cajero,Online,2025-10-01 07:54:45,APPROVED,M82653,5764
2561,130,Empresarial,UK,56.29,GBP,Transporte,Presencial,2025-10-01 07:56:17,DECLINED,M65352,9951
